geonameid,asciiname,latitude,longitude,country_code,population,timezone
119247,Qohord-e Bala,35.4399,48.0736,IR,2115,Asia/Tehran
119374,Qeshm,26.9492,56.2691,IR,25000,Asia/Tehran
119505,Qazvin,36.26877,50.0041,IR,333635,Asia/Tehran
119714,Qarnabad,36.82203,54.59222,IR,1961,Asia/Tehran
119730,Qarah Zia' od Din,38.8915,45.0255,IR,31947,Asia/Tehran
120678,Farrokh Shahr,32.27174,50.98008,IR,32391,Asia/Tehran
120694,Qa'en,33.72654,59.18439,IR,40157,Asia/Tehran
120931,Sarpol-e Zahab,34.46109,45.86264,IR,51611,Asia/Tehran
120972,Pishva,35.308,51.7267,IR,53856,Asia/Tehran
121110,Piranshahr,36.701,45.1413,IR,61973,Asia/Tehran
121240,Paveh,35.0434,46.3565,IR,17779,Asia/Tehran
121380,Parsabad,39.6482,47.9174,IR,101661,Asia/Tehran
121795,Oshnaviyeh,37.0397,45.0983,IR,50661,Asia/Tehran
121801,Orumiyeh,37.55274,45.07605,IR,577307,Asia/Tehran
121861,Omidiyeh,30.75972,49.705,IR,46983,Asia/Tehran
121925,Nurabad,30.11405,51.52174,IR,64041,Asia/Tehran
121959,Nowshahr,36.649,51.496,IR,40000,Asia/Tehran
122111,Nosratabad,29.9,59.98333,IR,4182,Asia/Tehran
122285,Nishabur,36.21329,58.79575,IR,220929,Asia/Tehran
122289,Neyriz,29.1988,54.3278,IR,45506,Asia/Tehran
122397,Neka,36.65079,53.29905,IR,48847,Asia/Tehran
122438,Nazarabad,35.95411,50.60607,IR,213388,Asia/Tehran
122560,Nashta Rud,36.75417,51.01028,IR,5837,Asia/Tehran
122698,Naqadeh,36.9553,45.388,IR,73528,Asia/Tehran
122915,Nahavand,34.1885,48.377,IR,76250,Asia/Tehran
123941,Minab,27.13104,57.08716,IR,70790,Asia/Tehran
124085,Miandoab,36.96667,46.10961,IR,132819,Asia/Tehran
124193,Meybod,32.25014,54.01658,IR,51874,Asia/Tehran
124274,Mahriz,31.58428,54.4428,IR,36720,Asia/Tehran
124291,Mehran,33.1222,46.1646,IR,11831,Asia/Tehran
124620,Masjed Soleyman,31.9364,49.3039,IR,111510,Asia/Tehran
124647,Bardsir,29.92266,56.57433,IR,37192,Asia/Tehran
124665,Mashhad,36.31559,59.56796,IR,2307177,Asia/Tehran
124862,Marand,38.4329,45.7749,IR,124191,Asia/Tehran
125185,Malayer,34.2969,48.8235,IR,176573,Asia/Tehran
125188,Malard,35.6659,50.9767,IR,56745,Asia/Tehran
125446,Mahabad,36.7631,45.7222,IR,162434,Asia/Tehran
