geonameid,asciiname,latitude,longitude,country_code,population,timezone
181135,Rongai,-0.17333,35.86382,KE,30471,Africa/Nairobi
181501,Pumwani,-1.28333,36.85,KE,29616,Africa/Nairobi
181702,Oyugis,-0.50898,34.73583,KE,10116,Africa/Nairobi
181735,Othaya,-0.56515,36.96091,KE,4468,Africa/Nairobi
182498,Ogembo,-0.79839,34.72531,KE,1842,Africa/Nairobi
182701,Nyeri,-0.42013,36.94759,KE,51084,Africa/Nairobi
183027,Nyahururu,0.0421,36.36734,KE,31978,Africa/Nairobi
183595,Ngong,-1.36175,36.6566,KE,9519,Africa/Nairobi
184367,Naro Moru,-0.16756,37.02129,KE,9018,Africa/Nairobi
184379,Narok,-1.07829,35.86012,KE,36061,Africa/Nairobi
184433,Nanyuki,0.01667,37.07283,KE,36142,Africa/Nairobi
184471,Nandi Hills,0.1066,35.18378,KE,4257,Africa/Nairobi
184546,Nambale,0.44594,34.25194,KE,1154,Africa/Nairobi
